symbol,listed_at,delisted_at,source
AAVE-USDT,2020-10-15,,binance_ohlcv_cache_manifest
ADA-USDT,2018-04-17,,binance_ohlcv_cache_manifest
APT-USDT,2022-10-19,,binance_ohlcv_cache_manifest
ARB-USDT,2023-03-23,,binance_ohlcv_cache_manifest
ATOM-USDT,2019-04-29,,binance_ohlcv_cache_manifest
AVAX-USDT,2020-09-22,,binance_ohlcv_cache_manifest
BCH-USDT,2019-11-28,,binance_ohlcv_cache_manifest
BNB-USDT,2017-11-06,,binance_ohlcv_cache_manifest
BTC-USDT,2017-08-17,,binance_ohlcv_cache_manifest
DOGE-USDT,2019-07-05,,binance_ohlcv_cache_manifest
DOT-USDT,2020-08-18,,binance_ohlcv_cache_manifest
ETC-USDT,2018-06-12,,binance_ohlcv_cache_manifest
ETH-USDT,2017-08-17,,binance_ohlcv_cache_manifest
FIL-USDT,2020-10-15,,binance_ohlcv_cache_manifest
ICP-USDT,2021-05-11,,binance_ohlcv_cache_manifest
INJ-USDT,2020-10-21,,binance_ohlcv_cache_manifest
LDO-USDT,2022-05-09,,binance_ohlcv_cache_manifest
LINK-USDT,2019-01-16,,binance_ohlcv_cache_manifest
LTC-USDT,2017-12-13,,binance_ohlcv_cache_manifest
MATIC-USDT,2019-04-26,2025-03-25,binance_ohlcv_cache_manifest
NEAR-USDT,2020-10-14,,binance_ohlcv_cache_manifest
OP-USDT,2022-06-01,,binance_ohlcv_cache_manifest
SEI-USDT,2023-08-15,,binance_ohlcv_cache_manifest
SOL-USDT,2020-08-11,,binance_ohlcv_cache_manifest
SUI-USDT,2023-05-03,,binance_ohlcv_cache_manifest
TIA-USDT,2023-10-31,,binance_ohlcv_cache_manifest
TRX-USDT,2018-06-11,,binance_ohlcv_cache_manifest
UNI-USDT,2020-09-17,,binance_ohlcv_cache_manifest
XLM-USDT,2018-05-31,,binance_ohlcv_cache_manifest
XRP-USDT,2018-05-04,,binance_ohlcv_cache_manifest
