timestamp,open,high,low,close,volume
2022-05-09,2.81,3.89,1.802,2.0,14518671.25
2022-05-10,2.0,2.37,1.69,2.009,10067540.92
2022-05-11,2.011,2.031,1.386,1.523,4870441.58
2022-05-12,1.523,1.69,1.194,1.404,2417717.54
2022-05-13,1.404,1.808,1.368,1.497,2159664.64
2022-05-14,1.499,1.557,1.33,1.488,1193189.14
2022-05-15,1.489,1.537,1.33,1.468,954349.35
2022-05-16,1.47,1.514,1.34,1.432,777194.07
2022-05-17,1.431,1.565,1.381,1.533,1094170.04
2022-05-18,1.529,1.639,1.36,1.36,935586.17
2022-05-19,1.363,1.45,1.349,1.419,1384361.62
2022-05-20,1.42,1.478,1.301,1.313,653338.11
2022-05-21,1.313,1.35,1.266,1.336,664022.76
2022-05-22,1.336,1.45,1.268,1.32,1023565.69
2022-05-23,1.32,1.355,1.152,1.17,1602353.2
2022-05-24,1.171,1.184,1.056,1.099,1372458.07
2022-05-25,1.099,1.127,1.046,1.083,1299389.25
2022-05-26,1.087,1.446,0.933,1.001,5742082.37
2022-05-27,1.001,1.275,0.949,1.069,9935394.84
2022-05-28,1.069,1.147,0.988,1.028,2719192.15
2022-05-29,1.028,1.26,1.023,1.174,4437725.06
2022-05-30,1.174,1.261,1.134,1.217,1585649.98
2022-05-31,1.217,1.225,1.035,1.055,1533298.01
2022-06-01,1.055,1.113,0.98,1.021,1533530.02
2022-06-02,1.02,1.126,0.998,1.023,1122917.2
2022-06-03,1.023,1.057,0.996,1.007,897554.73
2022-06-04,1.007,1.025,0.994,1.022,445509.46
2022-06-05,1.022,1.054,1.003,1.033,286885.8
2022-06-06,1.034,1.107,1.03,1.058,628394.05
2022-06-07,1.058,1.082,0.962,1.056,538638.02
2022-06-08,1.053,1.089,1.0,1.002,404855.48
2022-06-09,1.002,1.048,0.991,1.023,548113.92
2022-06-10,1.026,1.036,0.991,1.001,915803.27
2022-06-11,1.0,1.01,0.844,0.846,746651.82
2022-06-12,0.844,0.86,0.785,0.801,597191.94
2022-06-13,0.801,0.802,0.551,0.591,2798828.45
2022-06-14,0.592,0.668,0.565,0.622,1635470.74
2022-06-15,0.621,0.634,0.512,0.621,1826219.03
2022-06-16,0.623,1.072,0.528,0.532,7047464.08
2022-06-17,0.532,0.612,0.5,0.582,2853965.68
2022-06-18,0.581,0.672,0.4,0.464,6049810.52
2022-06-19,0.465,0.65,0.44,0.517,5623139.18
2022-06-20,0.517,0.549,0.45,0.516,3555308.97
2022-06-21,0.516,0.786,0.506,0.544,20499312.11
2022-06-22,0.544,0.569,0.486,0.513,4443710.67
2022-06-23,0.514,0.575,0.513,0.547,2355971.62
2022-06-24,0.545,0.689,0.542,0.631,5874686.62
2022-06-25,0.632,0.74,0.607,0.642,5900142.11
2022-06-26,0.643,0.68,0.61,0.62,1895335.64
2022-06-27,0.62,0.637,0.554,0.576,1302980.72
2022-06-28,0.575,0.615,0.52,0.52,1346680.1
2022-06-29,0.521,0.542,0.493,0.499,1617264.06
2022-06-30,0.499,0.502,0.433,0.453,3206282.61
2022-07-01,0.452,0.493,0.445,0.453,1783587.41
2022-07-02,0.453,0.598,0.444,0.467,5876147.88
2022-07-03,0.467,0.575,0.459,0.506,6167332.16
2022-07-04,0.505,0.575,0.47,0.54,5276100.5
2022-07-05,0.54,0.692,0.538,0.564,14638548.87
2022-07-06,0.563,0.675,0.55,0.616,4356958.68
2022-07-07,0.616,0.745,0.589,0.664,6376046.5
2022-07-08,0.666,0.879,0.656,0.74,15543462.93
2022-07-09,0.739,0.779,0.672,0.68,2953116.77
2022-07-10,0.682,0.686,0.62,0.64,2256441.79
2022-07-11,0.64,0.66,0.61,0.623,1803010.56
2022-07-12,0.626,0.666,0.583,0.639,2006367.04
2022-07-13,0.636,1.07,0.63,0.936,39807233.64
