order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_1124adc43eedce808078aa64,2017-10-13,2017-10-14,ETH-USDT,short,7.633223605743996,337.79102,1.2892171938361712,0.16897999999997637,negative,"{'commission': np.float64(1.2892171938361712), 'slippage': np.float64(1.28986212489844), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.5790793187346113)}",VolatilityReversion,signal,False
qt_e3141f8f6bdc7867260aaedf,2017-10-15,2017-10-16,ETH-USDT,cover,7.633223605743996,337.66875,1.2887505367110341,0.16874999999998863,positive,"{'commission': np.float64(1.2887505367110341), 'slippage': np.float64(1.2881064834692126), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.5768570201802468)}",Router,StateSwitch,False
qt_7b51ea9869777ebb07cb5046,2017-10-20,2017-10-21,BTC-USDT,buy,0.1504168035161157,6016.72686,0.45250841095537786,3.006859999999506,positive,"{'commission': np.float64(0.45250841095537786), 'slippage': np.float64(0.4522822698203933), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.9047906807757712)}",TrendBreakout,signal,False
qt_c01ae71a7249addb06e5bb22,2017-10-25,2017-10-26,BTC-USDT,sell,0.1504168035161157,5667.264950000001,0.4262259392289597,2.8350499999996828,negative,"{'commission': np.float64(0.4262259392289597), 'slippage': np.float64(0.42643915880831607), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.8526650980372757)}",Router,StateSwitch,False
qt_7835de9721bdb2897de64413,2017-11-19,2017-11-20,BTC-USDT,buy,0.0733132939577124,8061.1385549999995,0.29549431025828193,4.028554999999869,positive,"{'commission': np.float64(0.29549431025828193), 'slippage': np.float64(0.2953466369398025), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.5908409471980844)}",TrendBreakout,signal,False
qt_61751930ec0ee604884def4a,2017-12-14,2017-12-15,BNB-USDT,short,392.179554877462,3.1502241000000004,0.6177267426511268,0.0015758999999997414,negative,"{'commission': np.float64(0.6177267426511268), 'slippage': np.float64(0.618035760531291), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.2357625031824178)}",VolatilityReversion,signal,False
qt_ed2c5fe25b61d5b15a0d562d,2017-12-15,2017-12-16,BNB-USDT,cover,392.179554877462,4.16208,0.8161413408821935,0.0020799999999994156,positive,"{'commission': np.float64(0.8161413408821935), 'slippage': np.float64(0.8157334741448918), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.6318748150270852)}",VolatilityReversion,hard_stop,False
qt_2f40c516b16db54d4592e9c4,2017-12-16,2017-12-17,BNB-USDT,short,304.8918845832648,4.6276850000000005,0.705471800453853,0.002314999999999401,negative,"{'commission': np.float64(0.705471800453853), 'slippage': np.float64(0.7058247128100754), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.4112965132639284)}",VolatilityReversion,signal,False
qt_7be70066f50e0394848ebc5c,2017-12-17,2017-12-18,BNB-USDT,cover,304.8918845832648,6.001999499999999,0.9149804694114065,0.0029994999999995997,positive,"{'commission': np.float64(0.9149804694114065), 'slippage': np.float64(0.9145232078073807), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.8295036772187871)}",VolatilityReversion,hard_stop,False
qt_2a14ea426def9468b1cd3cee,2017-12-18,2017-12-19,ETH-USDT,buy,0.503408147124333,784.3919999999999,0.1974346616695749,0.39199999999993906,positive,"{'commission': np.float64(0.1974346616695749), 'slippage': np.float64(0.19733599367270788), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.3947706553422828)}",TrendBreakout,signal,False
qt_4ea516bc51977b838bc0decd,2017-12-18,2017-12-19,BNB-USDT,short,217.7300367656967,5.977010000000001,0.6506873035244685,0.002989999999999604,negative,"{'commission': np.float64(0.6506873035244685), 'slippage': np.float64(0.651012809929347), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.3017001134538155)}",VolatilityReversion,signal,False
qt_79b0cc07b9927a4c9c553b05,2017-12-21,2017-12-22,BTC-USDT,sell,0.0733132939577124,15506.272985000001,0.5684079747689198,7.757014999999228,negative,"{'commission': np.float64(0.5684079747689198), 'slippage': np.float64(0.5686923209293279), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(1.1371002956982477)}",Router,StateSwitch,False
qt_de46d725dd12d3d1127dc95b,2017-12-26,2017-12-27,BNB-USDT,cover,217.7300367656967,9.29074305,1.0114369129285705,0.004643050000000315,positive,"{'commission': np.float64(1.0114369129285705), 'slippage': np.float64(1.0109314472050366), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.022368360133607)}",VolatilityReversion,hard_stop,False
qt_644d9df4cbb91b438bd50578,2017-12-27,2017-12-28,BNB-USDT,short,91.3274296154507,10.064965,0.45960369130973744,0.005034999999999457,negative,"{'commission': np.float64(0.45960369130973744), 'slippage': np.float64(0.45983360811374463), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.9194372994234821)}",VolatilityReversion,signal,False
qt_3c8341575927d89875f9c13f,2017-12-28,2017-12-29,ETH-USDT,sell,0.503408147124333,709.14525,0.17849474817226096,0.35474999999996726,negative,"{'commission': np.float64(0.17849474817226096), 'slippage': np.float64(0.17858404019234064), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.3570787883646016)}",Router,StateSwitch,False
qt_8c1d843b2bbc0253316aa220,2018-01-04,2018-01-05,BNB-USDT,cover,91.3274296154507,9.1395675,0.41734660378595534,0.00456750000000028,positive,"{'commission': np.float64(0.41734660378595534), 'slippage': np.float64(0.4171380347685966), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.8344846385545519)}",Router,StateSwitch,False
qt_386740f57dbf37ba1d52b947,2018-01-16,2018-01-17,LTC-USDT,buy,3.12198651879666,179.36964,0.27999479898070506,0.08964000000000283,positive,"{'commission': np.float64(0.27999479898070506), 'slippage': np.float64(0.27985487154494143), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.5598496705256465)}",VolatilityReversion,signal,False
qt_9a2bf3f3eb69fbe435185cfa,2018-02-02,2018-02-03,LTC-USDT,sell,3.12198651879666,131.92400500000002,0.20593248255783161,0.0659949999999867,negative,"{'commission': np.float64(0.20593248255783161), 'slippage': np.float64(0.20603550030794407), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.4119679828657757)}",VolatilityReversion,hard_stop,False
qt_e80e8f27b1ce5b9a1bef6cb5,2018-02-05,2018-02-06,BTC-USDT,short,0.033350554791255566,6936.160185000001,0.11566239514538393,3.469814999999471,negative,"{'commission': np.float64(0.11566239514538393), 'slippage': np.float64(0.1157202552730028), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.23138265041838674)}",TrendBreakdown,signal,False
qt_be590496fed12882e1c3c542,2018-02-05,2018-02-06,LTC-USDT,buy,4.344364858313193,125.232585,0.27202802069485993,0.06258499999999856,positive,"{'commission': np.float64(0.27202802069485993), 'slippage': np.float64(0.2718920746575249), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.5439200953523848)}",VolatilityReversion,signal,False
qt_631b44f336bd4c061d54e104,2018-02-09,2018-02-10,LTC-USDT,sell,4.344364858313193,163.65813000000003,0.3554953143746261,0.08186999999998079,negative,"{'commission': np.float64(0.3554953143746261), 'slippage': np.float64(0.3556731509500176), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.7111684653246437)}",VolatilityReversion,Volatility mean reversion complete,False
qt_f0e602cd478d812fdcc3b639,2018-02-14,2018-02-15,BTC-USDT,cover,0.033350554791255566,9454.704989999998,0.15765982840207618,4.724989999998797,positive,"{'commission': np.float64(0.15765982840207618), 'slippage': np.float64(0.15758103788309452), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.3152408662851707)}",Router,StateSwitch,False
qt_def7cfd7c7f3ebe076d59716,2018-02-16,2018-02-17,LTC-USDT,short,4.385550056169493,227.88600000000002,0.49970273005012067,0.1139999999999759,negative,"{'commission': np.float64(0.49970273005012067), 'slippage': np.float64(0.49995270640321654), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.9996554364533372)}",VolatilityReversion,signal,False
qt_7d953ace4e4b0a09be2e5e92,2018-02-22,2018-02-23,LTC-USDT,cover,4.385550056169493,192.78634499999998,0.42273708307173063,0.09634499999998525,positive,"{'commission': np.float64(0.42273708307173063), 'slippage': np.float64(0.42252582016158513), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(0.8452629032333158)}",Router,StateSwitch,False
