order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_c69391d7f09ee348daa24ea3,2017-10-20,2017-10-21,BTC-USDT,buy,15.044154593732605,6016.72686,45.25828451505168,3.006859999999506,positive,"{'commission': np.float64(45.25828451505168), 'slippage': np.float64(45.235666681703385), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(90.49395119675506)}",TrendBreakout,signal,False
qt_cc164492307749765185c258,2017-10-25,2017-10-26,BTC-USDT,sell,15.044154593732605,5667.264950000001,42.62960501572115,2.8350499999996828,negative,"{'commission': np.float64(42.62960501572115), 'slippage': np.float64(42.65093048095685), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(85.280535496678)}",Router,StateSwitch,False
qt_25093263a015d62a93dda851,2017-11-19,2017-11-20,BTC-USDT,buy,7.3325353437484715,8061.1385549999995,29.55429168269549,4.028554999999869,positive,"{'commission': np.float64(29.55429168269549), 'slippage': np.float64(29.539521921733666), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(59.09381360442916)}",TrendBreakout,signal,False
qt_49a84a27aafb44a67806b210,2017-12-14,2017-12-15,BNB-USDT,short,9195.741800000002,3.1502241000000004,14.484323717868694,0.0015758999999997414,negative,"{'commission': 14.484323717868694, 'slippage': 14.491569502617624, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 28.97589322048632}",VolatilityReversion,signal,False
qt_49a84a27aafb44a67806b210,2017-12-14,2017-12-16,BNB-USDT,short,7756.067900000001,4.157920000000001,16.124554921384004,0.0020799999999994156,negative,"{'commission': 16.124554921384004, 'slippage': 16.13262123199547, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 32.257176153379476}",VolatilityReversion,signal,False
qt_49a84a27aafb44a67806b210,2017-12-14,2017-12-17,BNB-USDT,short,15556.6204,4.6276850000000005,35.995569437887006,0.002314999999999401,negative,"{'commission': 35.995569437887006, 'slippage': 36.013576225990676, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 72.00914566387769}",VolatilityReversion,signal,False
qt_49a84a27aafb44a67806b210,2017-12-14,2017-12-18,BNB-USDT,short,6715.976443419528,5.9960005,20.134499056365854,0.0029994999999995997,negative,"{'commission': np.float64(20.134499056365854), 'slippage': np.float64(20.144571342034183), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(40.27907039840004)}",VolatilityReversion,signal,False
qt_3f12221e35f39300f576da68,2017-12-15,2017-12-18,BNB-USDT,cover,7585.734256580474,6.001999499999999,22.764786607564435,0.0029994999999995997,positive,"{'commission': np.float64(22.764786607564435), 'slippage': np.float64(22.753409902610095), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(45.51819651017453)}",VolatilityReversion,hard_stop,False
qt_3f12221e35f39300f576da68,2017-12-15,2017-12-19,BNB-USDT,cover,1610.0075434195278,5.98299,4.816329516101801,0.002989999999999604,positive,"{'commission': np.float64(4.816329516101801), 'slippage': np.float64(4.81392255482375), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(9.63025207092555)}",VolatilityReversion,hard_stop,False
qt_a71b38b496dc411b453b94dd,2017-12-18,2017-12-19,ETH-USDT,buy,51.35977251915728,784.3919999999999,20.143097342923408,0.39199999999993906,positive,"{'commission': np.float64(20.143097342923408), 'slippage': np.float64(20.133030827506524), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(40.27612817042993)}",TrendBreakout,signal,False
qt_e388245e9b999d41cb566c73,2017-12-21,2017-12-22,BTC-USDT,sell,7.3325353437484715,15506.272985000001,56.85014735616232,7.757014999999228,negative,"{'commission': np.float64(56.85014735616232), 'slippage': np.float64(56.87858664948139), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(113.7287340056437)}",Router,StateSwitch,False
qt_9ead2605d6757067ad661b5a,2017-12-28,2017-12-29,ETH-USDT,sell,51.35977251915728,709.14525,18.210769361520462,0.35474999999996726,negative,"{'commission': np.float64(18.210769361520462), 'slippage': np.float64(18.219879301169364), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(36.430648662689826)}",Router,StateSwitch,False
qt_a7a39fe95bee2a5b093d3b84,2018-01-04,2018-01-05,BNB-USDT,cover,27649.7704,9.1395675,126.353471465151,0.00456750000000028,positive,"{'commission': 126.353471465151, 'slippage': 126.29032630200774, 'impact': 0.0, 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': 252.64379776715873}",Router,StateSwitch,False
qt_a7a39fe95bee2a5b093d3b84,2018-01-04,2018-01-06,BNB-USDT,cover,2378.894343419528,14.8982454,17.720675854468002,0.007445399999999935,positive,"{'commission': np.float64(17.720675854468002), 'slippage': np.float64(17.711819944495602), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(35.4324957989636)}",Router,StateSwitch,False
qt_58bf0f077a8e9afbeafb83a1,2018-02-02,2018-02-03,LTC-USDT,buy,393.85966555734365,132.055995,26.00576501277112,0.0659949999999867,positive,"{'commission': np.float64(26.00576501277112), 'slippage': np.float64(25.992768628451657), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(51.99853364122278)}",VolatilityReversion,signal,False
qt_61f487ceaac341081bb65137,2018-02-05,2018-02-06,BTC-USDT,short,3.289691768708257,6936.160185000001,11.408914533518223,3.469814999999471,negative,"{'commission': np.float64(11.408914533518223), 'slippage': np.float64(11.4146218444387), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(22.823536377956923)}",TrendBreakdown,signal,False
qt_ea7f14033a26ba2b1b113cba,2018-02-09,2018-02-10,LTC-USDT,sell,393.85966555734365,163.65813000000003,32.22916817377014,0.08186999999998079,negative,"{'commission': np.float64(32.22916817377014), 'slippage': np.float64(32.24529081917216), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(64.4744589929423)}",VolatilityReversion,Volatility mean reversion complete,False
