timestamp,symbol,regime,strategy,current_qty,route_event,strategy_changed
2026-04-23,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-23,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-24,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-24,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-25,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-25,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-26,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-26,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-27,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-27,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-28,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-28,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-29,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-29,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-30,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-04-30,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-01,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-01,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-02,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-02,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-03,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-03,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-04,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-04,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-05,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-05,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-06,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-06,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-07,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-07,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-08,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-08,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-09,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-09,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-10,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-10,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-11,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-11,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-12,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-12,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-13,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-13,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-14,BTC-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
2026-05-14,ETH-USDT,SIDEWAYS,RangeMeanReversion,0.0,active,False
